,Variety,Country,Province,Region,Subregion,count
0,"Aglianico, Italian Red",Italy,Italy Other,Vino Spumante,none,5
2,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Taburno,none,13
3,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Vulture,none,68
4,"Aglianico, Italian Red",Italy,Southern Italy,Basilicata,none,2
5,"Aglianico, Italian Red",Italy,Southern Italy,Beneventano,none,2
6,"Aglianico, Italian Red",Italy,Southern Italy,Campania,none,30
7,"Aglianico, Italian Red",Italy,Southern Italy,Castel del Monte,none,4
9,"Aglianico, Italian Red",Italy,Southern Italy,Falerno del Massico,none,3
10,"Aglianico, Italian Red",Italy,Southern Italy,Irpinia,none,60
11,"Aglianico, Italian Red",Italy,Southern Italy,Molise,none,2
13,"Aglianico, Italian Red",Italy,Southern Italy,Puglia,none,6
15,"Aglianico, Italian Red",Italy,Southern Italy,Sannio,none,14
17,"Aglianico, Italian Red",Italy,Southern Italy,Taurasi,none,124
19,"Aglianico, Italian Red",US,California,Central Coast,Paso Robles,5
22,"Aglianico, Italian Red",US,California,Lake County,none,2
26,"Aglianico, Italian Red",US,California,Sierra Foothills,Amador County,5
29,"Aglianico, Italian Red",US,California,Sierra Foothills,Sierra Foothills,2
36,"Albana, Italian White",Italy,Central Italy,Romagna,none,13
42,"Alicante, Grenache",Italy,Sicily & Sardinia,Menfi,none,2
44,"Alicante, Grenache",Italy,Tuscany,Toscana,none,2
45,"Alsace white blend, White Blend",France,Alsace,Alsace,none,107
46,"Alvarinho-Chardonnay, White Blend",Portugal,Lisboa,none,none,6
48,"Aragonez, Tempranillo",Portugal,Alentejano,none,none,28
49,"Aragonez, Tempranillo",Portugal,Alentejo,none,none,2
51,"Aragonez, Tempranillo",Portugal,Lisboa,none,none,2
52,"Aragonez, Tempranillo",Portugal,PenÃ­nsula de SetÃºbal,none,none,2
53,"Arinto-Chardonnay, White Blend",Portugal,Tejo,none,none,2
54,"Arneis, Italian White",Italy,Italy Other,Vino Spumante,none,2
55,"Arneis, Italian White",Italy,Piedmont,Langhe,none,4
56,"Arneis, Italian White",Italy,Piedmont,Roero,none,42
59,"Arneis, Italian White",US,California,Mendocino County,Mendocino,2
60,"Arneis, Italian White",US,California,Mendocino County,Mendocino County,3
67,"Austrian Red Blend, Red Blends",Austria,Austria,none,none,2
68,"Austrian Red Blend, Red Blends",Austria,Burgenland,none,none,77
69,"Austrian Red Blend, Red Blends",Austria,Carnuntum,none,none,6
70,"Austrian Red Blend, Red Blends",Austria,NiederÃ¶sterreich,none,none,10
71,"Austrian Red Blend, Red Blends",Austria,Steiermark,none,none,2
72,"Austrian Red Blend, Red Blends",Austria,Thermenregion,none,none,3
74,"Austrian Red Blend, Red Blends",Austria,Weinland Ãsterreich,none,none,3
77,"Austrian white blend, White Blend",Austria,Burgenland,none,none,37
79,"Austrian white blend, White Blend",Austria,NiederÃ¶sterreich,none,none,17
80,"Austrian white blend, White Blend",Austria,Steiermark,none,none,3
81,"Austrian white blend, White Blend",Austria,SÃ¼doststeiermark,none,none,3
82,"Austrian white blend, White Blend",Austria,Thermenregion,none,none,15
83,"Austrian white blend, White Blend",Austria,Vienna,none,none,15
84,"Austrian white blend, White Blend",Austria,Vulkanland Steiermark,none,none,2
88,"Austrian white blend, White Blend",Austria,Wiener Gemischter Satz,none,none,32
89,"Austrian white blend, White Blend",Austria,Ãsterreichischer Sekt,none,none,3
94,"Bombino Bianco, Italian White",Italy,Southern Italy,Castel del Monte,none,2
95,Bordeaux-style Red Blend,Argentina,Mendoza Province,Agrelo,none,4
98,Bordeaux-style Red Blend,Argentina,Mendoza Province,LujÃ¡n de Cuyo,none,20
99,Bordeaux-style Red Blend,Argentina,Mendoza Province,Mendoza,none,216
100,Bordeaux-style Red Blend,Argentina,Mendoza Province,Tupungato,none,20
101,Bordeaux-style Red Blend,Argentina,Mendoza Province,Uco Valley,none,36
102,Bordeaux-style Red Blend,Argentina,Mendoza Province,Vista Flores,none,3
103,Bordeaux-style Red Blend,Argentina,Mendoza Province,none,none,3
105,Bordeaux-style Red Blend,Argentina,Other,Argentina,none,3
106,Bordeaux-style Red Blend,Argentina,Other,Cafayate,none,6
107,Bordeaux-style Red Blend,Argentina,Other,CalchaquÃ­ Valley,none,3
110,Bordeaux-style Red Blend,Argentina,Other,Patagonia,none,5
111,Bordeaux-style Red Blend,Argentina,Other,Salta,none,6
112,Bordeaux-style Red Blend,Argentina,Other,San Juan,none,2
113,Bordeaux-style Red Blend,Australia,Australia Other,South Eastern Australia,none,23
118,Bordeaux-style Red Blend,Australia,South Australia,Adelaide,none,2
120,Bordeaux-style Red Blend,Australia,South Australia,Barossa,none,4
121,Bordeaux-style Red Blend,Australia,South Australia,Barossa Valley,none,7
122,Bordeaux-style Red Blend,Australia,South Australia,Clare Valley,none,2
123,Bordeaux-style Red Blend,Australia,South Australia,Coonawarra,none,15
125,Bordeaux-style Red Blend,Australia,South Australia,Langhorne Creek,none,4
127,Bordeaux-style Red Blend,Australia,South Australia,Limestone Coast,none,3
128,Bordeaux-style Red Blend,Australia,South Australia,McLaren Vale,none,13
129,Bordeaux-style Red Blend,Australia,South Australia,McLaren Vale-Adelaide Hills,none,2
131,Bordeaux-style Red Blend,Australia,South Australia,South Australia,none,5
135,Bordeaux-style Red Blend,Australia,Victoria,Victoria,none,4
136,Bordeaux-style Red Blend,Australia,Victoria,Yarra Valley,none,13
137,Bordeaux-style Red Blend,Australia,Western Australia,Frankland River,none,3
139,Bordeaux-style Red Blend,Australia,Western Australia,Margaret River,none,53
140,Bordeaux-style Red Blend,Australia,Western Australia,Pemberton,none,3
141,Bordeaux-style Red Blend,Australia,Western Australia,Western Australia,none,3
143,Bordeaux-style Red Blend,Austria,Burgenland,none,none,13
144,Bordeaux-style Red Blend,Austria,Carnuntum,none,none,2
150,Bordeaux-style Red Blend,Brazil,Serra GaÃºcha,none,none,2
151,Bordeaux-style Red Blend,Brazil,Vale dos Vinhedos,none,none,3
153,Bordeaux-style Red Blend,Bulgaria,Thracian Valley,none,none,4
154,Bordeaux-style Red Blend,Canada,British Columbia,Okanagan Valley,none,24
155,Bordeaux-style Red Blend,Canada,British Columbia,Similkameen Valley,none,2
159,Bordeaux-style Red Blend,Chile,Aconcagua Valley,none,none,13
161,Bordeaux-style Red Blend,Chile,Cachapoal Valley,none,none,21
163,Bordeaux-style Red Blend,Chile,Central Valley,none,none,3
165,Bordeaux-style Red Blend,Chile,Colchagua Valley,none,none,31
166,Bordeaux-style Red Blend,Chile,CuricÃ³ Valley,none,none,16
168,Bordeaux-style Red Blend,Chile,Maipo Valley,none,none,49
169,Bordeaux-style Red Blend,Chile,Maule Valley,none,none,27
170,Bordeaux-style Red Blend,Chile,Peumo,none,none,2
171,Bordeaux-style Red Blend,Chile,Puente Alto,none,none,2
172,Bordeaux-style Red Blend,Chile,Rapel Valley,none,none,10
173,Bordeaux-style Red Blend,Chile,Santa Cruz,none,none,3
174,Bordeaux-style Red Blend,China,China,none,none,3
177,Bordeaux-style Red Blend,France,Bordeaux,Blaye CÃ´tes de Bordeaux,none,420
178,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux,none,821
180,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux Clairet,none,31
181,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux CÃ´tes de Francs,none,5
182,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux RosÃ©,none,18
183,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux SupÃ©rieur,none,733
185,Bordeaux-style Red Blend,France,Bordeaux,Cadillac CÃ´tes de Bordeaux,none,160
186,Bordeaux-style Red Blend,France,Bordeaux,Canon-Fronsac,none,19
187,Bordeaux-style Red Blend,France,Bordeaux,Castillon CÃ´tes de Bordeaux,none,225
188,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bordeaux,none,83
189,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bordeaux Francs,none,2
190,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bourg,none,152
191,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Castillon,none,16
192,Bordeaux-style Red Blend,France,Bordeaux,Entre-Deux-Mers,none,2
193,Bordeaux-style Red Blend,France,Bordeaux,Francs CÃ´tes de Bordeaux,none,36
194,Bordeaux-style Red Blend,France,Bordeaux,Fronsac,none,78
195,Bordeaux-style Red Blend,France,Bordeaux,Graves,none,198
196,Bordeaux-style Red Blend,France,Bordeaux,Haut-MÃ©doc,none,817
197,Bordeaux-style Red Blend,France,Bordeaux,Lalande de Pomerol,none,134
198,Bordeaux-style Red Blend,France,Bordeaux,Listrac,none,2
199,Bordeaux-style Red Blend,France,Bordeaux,Listrac-MÃ©doc,none,154
200,Bordeaux-style Red Blend,France,Bordeaux,Lussac Saint-Ãmilion,none,62
201,Bordeaux-style Red Blend,France,Bordeaux,Margaux,none,753
202,Bordeaux-style Red Blend,France,Bordeaux,Montagne-Saint-Ãmilion,none,64
203,Bordeaux-style Red Blend,France,Bordeaux,Moulis,none,3
204,Bordeaux-style Red Blend,France,Bordeaux,Moulis-en-MÃ©doc,none,151
205,Bordeaux-style Red Blend,France,Bordeaux,MÃ©doc,none,638
206,Bordeaux-style Red Blend,France,Bordeaux,Pauillac,none,563
207,Bordeaux-style Red Blend,France,Bordeaux,Pessac-LÃ©ognan,none,581
208,Bordeaux-style Red Blend,France,Bordeaux,Pomerol,none,542
209,Bordeaux-style Red Blend,France,Bordeaux,Premieres CÃ´tes de Blaye,none,30
210,Bordeaux-style Red Blend,France,Bordeaux,Premieres CÃ´tes de Bordeaux,none,35
211,Bordeaux-style Red Blend,France,Bordeaux,Puisseguin Saint-Ãmilion,none,43
212,Bordeaux-style Red Blend,France,Bordeaux,Saint-EstÃ¨phe,none,484
213,Bordeaux-style Red Blend,France,Bordeaux,Saint-Georges-Saint-Ãmilion,none,11
214,Bordeaux-style Red Blend,France,Bordeaux,Saint-Julien,none,430
215,Bordeaux-style Red Blend,France,Bordeaux,Saint-Ãmilion,none,1552
216,Bordeaux-style Red Blend,France,Bordeaux,Sainte-Foy Bordeaux,none,8
217,Bordeaux-style Red Blend,France,Bordeaux,Sainte-Foy CÃ´tes de Bordeaux,none,2
218,Bordeaux-style Red Blend,France,Bordeaux,Sauternes,none,3
222,Bordeaux-style Red Blend,France,France Other,Vin de France,none,4
225,Bordeaux-style Red Blend,France,Languedoc-Roussillon,Pays d'Oc,none,4
227,Bordeaux-style Red Blend,France,Languedoc-Roussillon,Vin de Pays d'Oc,none,4
228,Bordeaux-style Red Blend,France,Languedoc-Roussillon,Vin de Pays de L'Aude,none,2
229,Bordeaux-style Red Blend,France,Loire Valley,Anjou,none,5
234,Bordeaux-style Red Blend,France,Provence,Coteaux de Verdon,none,2
237,Bordeaux-style Red Blend,France,Southwest France,Bergerac,none,56
239,Bordeaux-style Red Blend,France,Southwest France,Buzet,none,26
240,Bordeaux-style Red Blend,France,Southwest France,Cahors,none,121
241,Bordeaux-style Red Blend,France,Southwest France,ComtÃ© Tolosan,none,2
242,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes de Bergerac,none,30
243,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes de Duras,none,8
244,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes de Gascogne,none,5
245,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes du Lot,none,2
246,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes du Marmandais,none,7
247,Bordeaux-style Red Blend,France,Southwest France,CÃ´tes du Tarn,none,13
248,Bordeaux-style Red Blend,France,Southwest France,Montravel,none,11
249,Bordeaux-style Red Blend,France,Southwest France,PÃ©charmant,none,8
251,Bordeaux-style Red Blend,France,Southwest France,Vin de Pays des CÃ´tes de Gascogne,none,2
255,Bordeaux-style Red Blend,Greece,Crete,none,none,3
257,Bordeaux-style Red Blend,Greece,Drama,none,none,5
262,Bordeaux-style Red Blend,Greece,Mount Athos,none,none,2
265,Bordeaux-style Red Blend,Greece,Peloponnese,none,none,4
266,Bordeaux-style Red Blend,Greece,Vin de Pays de MacÃ©doine,none,none,2
267,Bordeaux-style Red Blend,Hungary,VillÃ¡ny,none,none,14
269,Bordeaux-style Red Blend,Israel,Galilee,none,none,40
270,Bordeaux-style Red Blend,Israel,Haut-JudeÃ©,none,none,6
273,Bordeaux-style Red Blend,Israel,Judean Hills,none,none,39
275,Bordeaux-style Red Blend,Israel,Samson,none,none,2
278,Bordeaux-style Red Blend,Italy,Central Italy,Umbria,none,2
283,Bordeaux-style Red Blend,Italy,Tuscany,Bolgheri,none,6
285,Bordeaux-style Red Blend,Italy,Tuscany,Sant'Antimo,none,3
286,Bordeaux-style Red Blend,Italy,Tuscany,Toscana,none,7
290,Bordeaux-style Red Blend,Mexico,Valle de Guadalupe,none,none,5
292,Bordeaux-style Red Blend,Moldova,Moldova,none,none,6
295,Bordeaux-style Red Blend,New Zealand,Hawke's Bay,none,none,123
298,Bordeaux-style Red Blend,New Zealand,Nelson,none,none,3
301,Bordeaux-style Red Blend,New Zealand,Waiheke Island,none,none,5
302,Bordeaux-style Red Blend,New Zealand,Waipara,none,none,2
303,Bordeaux-style Red Blend,New Zealand,Wairarapa,none,none,3
305,Bordeaux-style Red Blend,Portugal,Bairrada,none,none,5
308,Bordeaux-style Red Blend,Portugal,PenÃ­nsula de SetÃºbal,none,none,4
309,Bordeaux-style Red Blend,Portugal,Terras do Sado,none,none,3
310,Bordeaux-style Red Blend,Slovenia,Goriska Brda,none,none,6
312,Bordeaux-style Red Blend,South Africa,Coastal Region,none,none,15
313,Bordeaux-style Red Blend,South Africa,Constantia,none,none,5
314,Bordeaux-style Red Blend,South Africa,Darling,none,none,2
315,Bordeaux-style Red Blend,South Africa,Durbanville,none,none,2
316,Bordeaux-style Red Blend,South Africa,Elgin,none,none,2
317,Bordeaux-style Red Blend,South Africa,Franschhoek,none,none,5
318,Bordeaux-style Red Blend,South Africa,Paarl,none,none,29
319,Bordeaux-style Red Blend,South Africa,Philadelphia,none,none,5
320,Bordeaux-style Red Blend,South Africa,Robertson,none,none,3
321,Bordeaux-style Red Blend,South Africa,Simonsberg-Paarl,none,none,3
322,Bordeaux-style Red Blend,South Africa,Simonsberg-Stellenbosch,none,none,13
323,Bordeaux-style Red Blend,South Africa,Stellenbosch,none,none,110
325,Bordeaux-style Red Blend,South Africa,Walker Bay,none,none,2
326,Bordeaux-style Red Blend,South Africa,Wellington,none,none,3
327,Bordeaux-style Red Blend,South Africa,Western Cape,none,none,14
329,Bordeaux-style Red Blend,Spain,Catalonia,PenedÃ¨s,none,14
330,Bordeaux-style Red Blend,Spain,Catalonia,Pla de Bages,none,7
336,Bordeaux-style Red Blend,Spain,Central Spain,Vino de la Tierra de Castilla,none,4
337,Bordeaux-style Red Blend,Spain,Levante,Jumilla,none,2
338,Bordeaux-style Red Blend,Spain,Levante,Valencia,none,4
340,Bordeaux-style Red Blend,Spain,Northern Spain,EmpordÃ,none,3
341,Bordeaux-style Red Blend,Spain,Northern Spain,Navarra,none,21
342,Bordeaux-style Red Blend,Spain,Northern Spain,Ribera del Queiles,none,3
343,Bordeaux-style Red Blend,Spain,Northern Spain,Somontano,none,4
344,Bordeaux-style Red Blend,Turkey,Aegean,none,none,3
346,Bordeaux-style Red Blend,Turkey,Turkey,none,none,3
347,Bordeaux-style Red Blend,US,America,none,none,2
349,Bordeaux-style Red Blend,US,California,California Other,California,20
350,Bordeaux-style Red Blend,US,California,Central Coast,Adelaida District,13
351,Bordeaux-style Red Blend,US,California,Central Coast,Carmel Valley,2
352,Bordeaux-style Red Blend,US,California,Central Coast,Central Coast,7
354,Bordeaux-style Red Blend,US,California,Central Coast,Happy Canyon of Santa Barbara,35
355,Bordeaux-style Red Blend,US,California,Central Coast,Livermore Valley,28
356,Bordeaux-style Red Blend,US,California,Central Coast,Los Olivos District,3
358,Bordeaux-style Red Blend,US,California,Central Coast,Paicines,4
359,Bordeaux-style Red Blend,US,California,Central Coast,Paso Robles,135
360,Bordeaux-style Red Blend,US,California,Central Coast,Paso Robles Willow Creek District,11
361,Bordeaux-style Red Blend,US,California,Central Coast,Santa Barbara County,11
362,Bordeaux-style Red Blend,US,California,Central Coast,Santa Clara Valley,8
363,Bordeaux-style Red Blend,US,California,Central Coast,Santa Cruz Mountains,20
365,Bordeaux-style Red Blend,US,California,Central Coast,Santa Ynez Valley,22
366,Bordeaux-style Red Blend,US,California,Central Coast,Templeton Gap District,2
368,Bordeaux-style Red Blend,US,California,Central Valley,Lodi,4
369,Bordeaux-style Red Blend,US,California,Lake County,Lake County,4
371,Bordeaux-style Red Blend,US,California,Mendocino County,Mendocino,3
373,Bordeaux-style Red Blend,US,California,Napa,Calistoga,6
374,Bordeaux-style Red Blend,US,California,Napa,Coombsville,5
375,Bordeaux-style Red Blend,US,California,Napa,Diamond Mountain District,10
376,Bordeaux-style Red Blend,US,California,Napa,Howell Mountain,7
377,Bordeaux-style Red Blend,US,California,Napa,Mount Veeder,3
378,Bordeaux-style Red Blend,US,California,Napa,Napa County,2
379,Bordeaux-style Red Blend,US,California,Napa,Napa Valley,270
380,Bordeaux-style Red Blend,US,California,Napa,Oak Knoll District,3
381,Bordeaux-style Red Blend,US,California,Napa,Oakville,6
382,Bordeaux-style Red Blend,US,California,Napa,Rutherford,14
383,Bordeaux-style Red Blend,US,California,Napa,Spring Mountain District,7
385,Bordeaux-style Red Blend,US,California,Napa,Stags Leap District,5
386,Bordeaux-style Red Blend,US,California,Napa,Yountville,4
387,Bordeaux-style Red Blend,US,California,North Coast,North Coast,4
389,Bordeaux-style Red Blend,US,California,North Coast,Yorkville Highlands,3
391,Bordeaux-style Red Blend,US,California,Sierra Foothills,El Dorado,6
392,Bordeaux-style Red Blend,US,California,Sierra Foothills,Fair Play,4
394,Bordeaux-style Red Blend,US,California,Sierra Foothills,Sierra Foothills,10
395,Bordeaux-style Red Blend,US,California,Sonoma,Alexander Valley,29
397,Bordeaux-style Red Blend,US,California,Sonoma,Chalk Hill,9
398,Bordeaux-style Red Blend,US,California,Sonoma,Dry Creek Valley,16
400,Bordeaux-style Red Blend,US,California,Sonoma,Knights Valley,4
401,Bordeaux-style Red Blend,US,California,Sonoma,Moon Mountain District Sonoma County,3
402,Bordeaux-style Red Blend,US,California,Sonoma,Rockpile,4
403,Bordeaux-style Red Blend,US,California,Sonoma,Russian River Valley,2
404,Bordeaux-style Red Blend,US,California,Sonoma,Sonoma County,41
405,Bordeaux-style Red Blend,US,California,Sonoma,Sonoma Mountain,6
406,Bordeaux-style Red Blend,US,California,Sonoma,Sonoma Valley,13
408,Bordeaux-style Red Blend,US,California,South Coast,Malibu Coast,2
410,Bordeaux-style Red Blend,US,California,South Coast,San Diego County,2
411,Bordeaux-style Red Blend,US,California,South Coast,South Coast,5
412,Bordeaux-style Red Blend,US,California,South Coast,Temecula,2
413,Bordeaux-style Red Blend,US,California,South Coast,Temecula Valley,15
414,Bordeaux-style Red Blend,US,Colorado,Colorado,none,4
415,Bordeaux-style Red Blend,US,Colorado,Grand Valley,none,8
416,Bordeaux-style Red Blend,US,Idaho,Idaho,none,4
417,Bordeaux-style Red Blend,US,Idaho,Lewis-Clark Valley (ID),none,2
418,Bordeaux-style Red Blend,US,Idaho,none,none,9
420,Bordeaux-style Red Blend,US,Michigan,Lake Michigan Shore,none,3
421,Bordeaux-style Red Blend,US,Michigan,Leelanau Peninsula,none,3
423,Bordeaux-style Red Blend,US,Michigan,Old Mission Peninsula,none,3
425,Bordeaux-style Red Blend,US,New Jersey,Outer Coastal Plain,none,3
426,Bordeaux-style Red Blend,US,New Mexico,New Mexico,none,2
427,Bordeaux-style Red Blend,US,New York,Finger Lakes,Finger Lakes,57
428,Bordeaux-style Red Blend,US,New York,Finger Lakes,Seneca Lake,6
429,Bordeaux-style Red Blend,US,New York,Long Island,Long Island,8
430,Bordeaux-style Red Blend,US,New York,Long Island,North Fork of Long Island,91
431,Bordeaux-style Red Blend,US,New York,New York Other,New York,13
433,Bordeaux-style Red Blend,US,North Carolina,Yadkin Valley,none,2
434,Bordeaux-style Red Blend,US,Oregon,Oregon Other,Columbia Valley (OR),9
435,Bordeaux-style Red Blend,US,Oregon,Oregon Other,Oregon,3
436,Bordeaux-style Red Blend,US,Oregon,Oregon Other,Walla Walla Valley (OR),18
437,Bordeaux-style Red Blend,US,Oregon,Southern Oregon,Applegate Valley,8
438,Bordeaux-style Red Blend,US,Oregon,Southern Oregon,Rogue Valley,12
439,Bordeaux-style Red Blend,US,Oregon,Southern Oregon,Southern Oregon,5
440,Bordeaux-style Red Blend,US,Oregon,Southern Oregon,Umpqua Valley,2
442,Bordeaux-style Red Blend,US,Pennsylvania,Pennsylvania,none,2
444,Bordeaux-style Red Blend,US,Virginia,Middleburg,none,3
445,Bordeaux-style Red Blend,US,Virginia,Monticello,none,20
446,Bordeaux-style Red Blend,US,Virginia,Shenandoah Valley,none,2
447,Bordeaux-style Red Blend,US,Virginia,Virginia,none,62
448,Bordeaux-style Red Blend,US,Virginia,Virginia's Eastern Shore,none,3
449,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Columbia Valley (WA),716
450,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Horse Heaven Hills,33
451,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Naches Heights,2
452,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Rattlesnake Hills,4
453,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Red Mountain,200
454,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Snipes Mountain,7
455,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Wahluke Slope,10
456,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Walla Walla County,2
457,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Walla Walla Valley (WA),210
458,Bordeaux-style Red Blend,US,Washington,Columbia Valley,Yakima Valley,124
460,Bordeaux-style Red Blend,US,Washington,Washington Other,Washington,42
464,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Barsac,none,137
465,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Blaye CÃ´tes de Bordeaux,none,30
467,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Bordeaux Blanc,none,764
468,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Cadillac,none,9
469,"Bordeaux-style White Blend, White Blend",France,Bordeaux,CÃ©rons,none,5
470,"Bordeaux-style White Blend, White Blend",France,Bordeaux,CÃ´tes de Bordeaux,none,2
471,"Bordeaux-style White Blend, White Blend",France,Bordeaux,CÃ´tes de Bordeaux Saint-Macaire,none,2
473,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Entre-Deux-Mers,none,104
474,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Entre-deux-Mers Haut-Benauge,none,4
475,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Francs CÃ´tes de Bordeaux,none,8
476,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Graves,none,106
477,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Graves SuperiÃ©ures,none,2
478,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Loupiac,none,11
479,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Pessac-LÃ©ognan,none,82
480,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Premieres CÃ´tes de Blaye,none,5
481,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Premieres CÃ´tes de Bordeaux,none,3
482,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Saint-Croix-du-Mont,none,8
484,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Sainte-Foy Bordeaux,none,3
486,"Bordeaux-style White Blend, White Blend",France,Bordeaux,Sauternes,none,414
487,"Bordeaux-style White Blend, White Blend",France,France Other,Vin de France,none,2
488,"Bordeaux-style White Blend, White Blend",France,Southwest France,Bergerac,none,2
489,"Bordeaux-style White Blend, White Blend",France,Southwest France,Bergerac Sec,none,60
490,"Bordeaux-style White Blend, White Blend",France,Southwest France,Buzet,none,2
491,"Bordeaux-style White Blend, White Blend",France,Southwest France,CÃ´tes de Bergerac,none,2
494,"Bordeaux-style White Blend, White Blend",France,Southwest France,CÃ´tes du Marmandais,none,2
496,"Bordeaux-style White Blend, White Blend",France,Southwest France,Monbazillac,none,25
497,"Bordeaux-style White Blend, White Blend",France,Southwest France,Montravel,none,4
498,"Bordeaux-style White Blend, White Blend",France,Southwest France,Saussignac,none,3
499,"Bordeaux-style White Blend, White Blend",France,Southwest France,Vin de Pays des CÃ´tes de Gascogne,none,2
504,"Bordeaux-style White Blend, White Blend",US,California,Central Coast,Happy Canyon of Santa Barbara,4
506,"Bordeaux-style White Blend, White Blend",US,California,Central Coast,Santa Ynez Valley,3
509,"Bordeaux-style White Blend, White Blend",US,Washington,Columbia Valley,Columbia Valley (WA),31
511,"Bordeaux-style White Blend, White Blend",US,Washington,Columbia Valley,Walla Walla Valley (WA),6
513,"Bovale, Italian Red",Italy,Sicily & Sardinia,Isola dei Nuraghi,none,3
514,"Brachetto, Italian Red",Italy,Piedmont,Brachetto d'Acqui,none,2
516,Cabernet Franc,Argentina,Mendoza Province,Agrelo,none,7
518,Cabernet Franc,Argentina,Mendoza Province,LujÃ¡n de Cuyo,none,3
519,Cabernet Franc,Argentina,Mendoza Province,Mendoza,none,56
520,Cabernet Franc,Argentina,Mendoza Province,Tupungato,none,10
521,Cabernet Franc,Argentina,Mendoza Province,Uco Valley,none,15
522,Cabernet Franc,Argentina,Mendoza Province,Vista Flores,none,2
523,Cabernet Franc,Argentina,Other,Alto Valle del RÃ­o Negro,none,4
524,Cabernet Franc,Argentina,Other,Patagonia,none,3
525,Cabernet Franc,Argentina,Other,San Juan,none,2
527,Cabernet Franc,Austria,Burgenland,none,none,2
530,Cabernet Franc,Bulgaria,Thracian Valley,none,none,2
531,Cabernet Franc,Canada,British Columbia,Okanagan Valley,none,14
533,Cabernet Franc,Canada,Ontario,Niagara Escarpment,none,2
534,Cabernet Franc,Canada,Ontario,Niagara Peninsula,none,7
535,Cabernet Franc,Canada,Ontario,Niagara-On-The-Lake,none,3
536,Cabernet Franc,Chile,Cachapoal Valley,none,none,4
537,Cabernet Franc,Chile,Casablanca Valley,none,none,10
539,Cabernet Franc,Chile,Colchagua Valley,none,none,13
540,Cabernet Franc,Chile,CuricÃ³ Valley,none,none,5
542,Cabernet Franc,Chile,Loncomilla Valley,none,none,3
543,Cabernet Franc,Chile,LontuÃ© Valley,none,none,2
544,Cabernet Franc,Chile,Maipo Valley,none,none,7
545,Cabernet Franc,Chile,Maule Valley,none,none,10
549,Cabernet Franc,France,Bordeaux,Bordeaux SupÃ©rieur,none,2
550,Cabernet Franc,France,Bordeaux,CrÃ©mant de Bordeaux,none,2
552,Cabernet Franc,France,France Other,Vin de France,none,3
554,Cabernet Franc,France,Languedoc-Roussillon,Pays d'Oc,none,2
555,Cabernet Franc,France,Loire Valley,Anjou,none,19
556,Cabernet Franc,France,Loire Valley,Anjou Villages,none,4
557,Cabernet Franc,France,Loire Valley,Bourgueil,none,49
558,Cabernet Franc,France,Loire Valley,Cabernet d'Anjou,none,4
560,Cabernet Franc,France,Loire Valley,Chinon,none,183
561,Cabernet Franc,France,Loire Valley,CrÃ©mant de Loire,none,13
563,Cabernet Franc,France,Loire Valley,RosÃ© de Loire,none,2
564,Cabernet Franc,France,Loire Valley,Saint-Nicolas-de-Bourgueil,none,46
565,Cabernet Franc,France,Loire Valley,Saumur,none,15
567,Cabernet Franc,France,Loire Valley,Saumur-Champigny,none,58
568,Cabernet Franc,France,Loire Valley,Touraine,none,2
570,Cabernet Franc,France,Loire Valley,Val de Loire,none,3
